GHO (CODE),GHO (DISPLAY),GHO (URL),GBDCHILDCAUSES (CODE),GBDCHILDCAUSES (DISPLAY),GBDCHILDCAUSES (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,5,5.14533,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,6,6.00476,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,4,3.86905,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.37162,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH15,Congenital anomaliesCongenital anomalies,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,1,1.27793,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH6,MeaslesMeasles,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH6,MeaslesMeasles,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,2,1.97802,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH9,Acute lower respiratory infectionsAcute lower respiratory infections,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,1,0.64516,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,6,5.51282,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH2,HIV/AIDSHIV/AIDS,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH2,HIV/AIDSHIV/AIDS,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,1,0.59829,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH15,Congenital anomaliesCongenital anomalies,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,2,1.73342,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH6,MeaslesMeasles,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,1,0.73892,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH9,Acute lower respiratory infectionsAcute lower respiratory infections,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,1,0.62222,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,3,3.10318,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH2,HIV/AIDSHIV/AIDS,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,1,0.82286,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH6,MeaslesMeasles,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,3,2.72464,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,3,2.72464,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,2,1.83116,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH9,Acute lower respiratory infectionsAcute lower respiratory infections,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH9,Acute lower respiratory infectionsAcute lower respiratory infections,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.30918,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH15,Congenital anomaliesCongenital anomalies,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,1,0.72222,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH15,Congenital anomaliesCongenital anomalies,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,2,1.64976,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,4,3.68116,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,1,0.73430,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,1,0.71000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,1,0.71000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,2,2.46842,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,2,2.46842,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,3,2.70387,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,2,1.77287,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH2,HIV/AIDSHIV/AIDS,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,,,,LUX,Luxembourg,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,,,,LUX,Luxembourg,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,2,2.14062,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH15,Congenital anomaliesCongenital anomalies,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,,,,LUX,Luxembourg,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,1,0.65693,,,,,
