Region Code: EU
"Region Name: Europe"
Country Code: LUX
"Country Name: Luxembourg"
Export date: 12/2/2022 10:47:49 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0400,Upper respiratory infections,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0450,Hypertensive disorders,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0500,Low birth weight,2000,All,Age_all,[All],2.00000000,0.05520287,0.64759197,0.45577813,
CG0530,Nutritional deficiencies,2000,All,Age_all,[All],3.00000000,0.08280431,0.37788682,0.68366719,
CG0580,Other nutritional disorders,2000,All,Age_all,[All],1.00000000,0.02760144,0.09164733,0.22788906,
CG0612,b. Nasopharynx cancers,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0630,Stomach cancer,2000,All,Age_all,[All],33.00000000,0.91084736,4.53785582,7.52033910,
CG0680,Melanoma and other skin cancers,2000,All,Age_all,[All],20.00000000,0.55202871,2.98526348,4.55778127,
CG0710,Corpus uteri cancer,2000,All,Age_all,[All],12.00000000,0.33121722,1.74015855,2.73466876,
CG0731,Testicular cancer,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0743,Larynx cancer,2000,All,Age_all,[All],9.00000000,0.24841292,1.43278430,2.05100157,
CG0752,b. Non-Hodgkin lymphoma,2000,All,Age_all,[All],28.00000000,0.77284019,3.61318557,6.38089378,
CG0780,Other neoplasms,2000,All,Age_all,[All],3.00000000,0.08280431,0.40236287,0.68366719,
CG0830,Bipolar disorder,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0030,Tuberculosis,2000,All,Age_all,[All],3.00000000,0.08280431,0.51614687,0.68366719,
CG0040,STDs excluding HIV,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0120,Pertussis,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0130,Poliomyelitis,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0200,Malaria,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0210,Tropical-cluster diseases,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0220,Trypanosomiasis,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0290,Dengue,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0300,Japanese encephalitis,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0380,Respiratory infections,2000,All,Age_all,[All],85.00000000,2.34612200,10.29469694,19.37057041,
CG0390,Lower respiratory infections,2000,All,Age_all,[All],85.00000000,2.34612200,10.29469694,19.37057041,
CG0460,Obstructed labour,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0470,Abortion,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0480,Other maternal conditions,2000,All,Age_all,[All],1.00000000,0.02760144,0.20631002,0.22788906,
CG0550,Iodine deficiency,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0560,Vitamin A deficiency,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0613,c. Other pharynx cancer,2000,All,Age_all,[All],20.00000000,0.55202871,3.41765873,4.55778127,
CG0620,Oesophagus cancer,2000,All,Age_all,[All],23.00000000,0.63483301,3.48769160,5.24144846,
CG0681,a. Malignant skin melanoma,2000,All,Age_all,[All],17.00000000,0.46922440,2.64915297,3.87411408,
CG0682,b. Non-melanoma skin cancer,2000,All,Age_all,[All],3.00000000,0.08280431,0.33611051,0.68366719,
CG0690,Breast cancer,2000,All,Age_all,[All],82.00000000,2.26331769,12.69572422,18.68690322,
CG0740,Bladder cancer,2000,All,Age_all,[All],27.00000000,0.74523875,3.11466367,6.15300472,
CG0741,Brain and nervous system cancers,2000,All,Age_all,[All],42.00000000,1.15926028,6.62325640,9.57134067,
CG0753,c. Multiple myeloma,2000,All,Age_all,[All],13.00000000,0.35881866,1.89613970,2.96255783,
CG0860,Alcohol use disorders,2000,All,Age_all,[All],24.00000000,0.66243445,4.28763892,5.46933753,
CG0880,Parkinson disease,2000,All,Age_all,[All],31.00000000,0.85564449,3.59254230,7.06456097,
CG0910,Post-traumatic stress disorder,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0960,Mental Retardation,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0990,Glaucoma,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1010,"Vision disorders, age-related",2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1040,Cardiovascular diseases,2000,All,Age_all,[All],1414.00000000,39.02842948,173.10283239,322.23513594,
CG1090,Inflammatory heart diseases,2000,All,Age_all,[All],27.00000000,0.74523875,3.28929045,6.15300472,
CG1130,Asthma,2000,All,Age_all,[All],20.00000000,0.55202871,3.02222717,4.55778127,
CG1150,Digestive diseases,2000,All,Age_all,[All],203.00000000,5.60309136,28.99627210,46.26147991,
CG1180,Appendicitis,2000,All,Age_all,[All],1.00000000,0.02760144,0.19459216,0.22788906,
CG1185,Pancreatitis,2000,All,Age_all,[All],8.00000000,0.22081148,1.04882329,1.82311251,
CG1210,Nephritis and nephrosis,2000,All,Age_all,[All],29.00000000,0.80044162,3.25118544,6.60878284,
CG1230,Other genitourinary system diseases,2000,All,Age_all,[All],6.00000000,0.16560861,0.94838288,1.36733438,
CG1260,Rheumatoid arthritis,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1310,Congenital anomalies,2000,All,Age_all,[All],2.00000000,0.05520287,0.64759197,0.45577813,
CG1340,Anorectal atresia,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1360,Cleft palate,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1390,Down syndrome,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1440,Dental caries,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1470,Other oral diseases,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1480,Injuries,2000,All,Age_all,[All],236.00000000,6.51393872,41.77581143,53.78181901,
CG1510,Poisonings,2000,All,Age_all,[All],7.00000000,0.19321005,1.56925842,1.59522345,
CG1542,Natural disasters,2000,All,Age_all,[All],2.00000000,0.05520287,0.38217209,0.45577813,
CG0870,Alzheimer and other dementias,2000,All,Age_all,[All],104.00000000,2.87054927,11.05852707,23.70046262,
CG0920,Obsessive-compulsive disorder,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0950,Migraine,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1000,Cataracts,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1050,Rheumatic heart disease,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1080,Cerebrovascular disease,2000,All,Age_all,[All],419.00000000,11.56500138,50.80079646,95.48551765,
CG1140,Other respiratory diseases,2000,All,Age_all,[All],68.00000000,1.87689760,8.20472119,15.49645633,
CG1181,Gastritis and duodenitis,2000,All,Age_all,[All],2.00000000,0.05520287,0.18329466,0.45577813,
CG1184,Gallbladder and biliary diseases,2000,All,Age_all,[All],14.00000000,0.38642009,1.65057114,3.19044689,
CG1220,Benign prostatic hypertrophy,2000,All,Age_all,[All],1.00000000,0.02760144,0.12477351,0.22788906,
CG1270,Osteoarthritis,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1300,Other musculoskeletal disorders,2000,All,Age_all,[All],6.00000000,0.16560861,0.64759214,1.36733438,
CG1350,Cleft lip,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1400,Congenital heart anomalies,2000,All,Age_all,[All],1.00000000,0.02760144,0.32379598,0.22788906,
CG1430,Oral conditions,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1475,Sudden infant death syndrome,2000,All,Age_all,[All],2.00000000,0.05520287,0.64759197,0.45577813,
CG1520,Falls,2000,All,Age_all,[All],36.00000000,0.99365167,5.50649144,8.20400629,
CG1541,Exposure to mechanical forces,2000,All,Age_all,[All],3.00000000,0.08280431,0.62701597,0.68366719,
CG1580,Violence,2000,All,Age_all,[All],5.00000000,0.13800718,1.23690889,1.13944532,
CG0769,Other malignant neoplasms,2000,All,Age_all,[All],37.00000000,1.02125311,5.58940490,8.43189535,
CG1099,Other circulatory diseases,2000,All,Age_all,[All],138.00000000,3.80899807,17.11875260,31.44869078,
CG0020,Infectious and parasitic diseases,2000,Male,Age_all,[All],15.00000000,0.83194676,5.87349433,6.93866223,
CG0070,Gonorrhoea,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0760,Leukaemia,2000,All,Age_all,[All],38.00000000,1.04885454,5.37172292,8.65978442,
CG0840,Schizophrenia,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0850,Epilepsy,2000,All,Age_all,[All],8.00000000,0.22081148,1.46251995,1.82311251,
CG0930,Panic disorder,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0940,Insomnia (primary),2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1020,"Hearing loss, adult onset ",2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1030,Other sense organ disorders,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1110,Respiratory diseases,2000,All,Age_all,[All],201.00000000,5.54788849,26.06498547,45.80570178,
CG1120,Chronic obstructive pulmonary disease,2000,All,Age_all,[All],113.00000000,3.11896219,14.83803711,25.75146419,
CG1182,Paralytic ileus and intestinal obstruction,2000,All,Age_all,[All],13.00000000,0.35881866,1.53510228,2.96255783,
CG1183,Inflammatory bowel disease,2000,All,Age_all,[All],8.00000000,0.22081148,1.01525538,1.82311251,
CG1240,Skin diseases,2000,All,Age_all,[All],14.00000000,0.38642009,1.48599684,3.19044689,
CG1250,Musculoskeletal diseases,2000,All,Age_all,[All],9.00000000,0.24841292,1.21134515,2.05100157,
CG1320,Abdominal wall defect,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1330,Anencephaly,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1410,Spina bifida,2000,All,Age_all,[All],1.00000000,0.02760144,0.32379598,0.22788906,
CG1420,Other Congenital anomalies,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1490,Unintentional injuries,2000,All,Age_all,[All],167.00000000,4.60943969,28.41459889,38.05747362,
CG1500,Road traffic accidents,2000,All,Age_all,[All],44.00000000,1.21446315,9.05622448,10.02711880,
CG1550,Other unintentional injuries,2000,All,Age_all,[All],69.00000000,1.90449903,10.08320440,15.72434539,
CG1560,Intentional injuries,2000,All,Age_all,[All],67.00000000,1.84929616,12.96438503,15.26856726,
CG0789,Diabetes mellitus and endocrine disorders,2000,All,Age_all,[All],68.00000000,1.87689760,8.96098759,15.49645633,
CG1098,Ill-defined circulatory diseases,2000,All,Age_all,[All],325.00000000,8.97046646,37.22584872,74.06394567,
CG1570,Self-inflicted injuries,2000,All,Age_all,[All],62.00000000,1.71128899,11.72747614,14.12912194,
CG1590,War,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0768,Ill-defined malignant neoplasms,2000,All,Age_all,[All],73.00000000,2.01490478,9.83293486,16.63590164,
CG1605,Ill-defined injuries/accidents,2000,All,Age_all,[All],2.00000000,0.05520287,0.39682751,0.45577813,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2000,Male,Age_all,[All],63.00000000,3.49417637,24.92488837,29.14238135,
CG0030,Tuberculosis,2000,Male,Age_all,[All],2.00000000,0.11092623,0.76485926,0.92515496,
CG0060,Chlamydia,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0110,Childhood-cluster diseases,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0140,Diphtheria,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0190,Hepatitis C,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0240,Schistosomiasis,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0320,Intestinal nematode infections,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0370,Other infectious diseases,2000,Male,Age_all,[All],7.00000000,0.38824182,2.48810220,3.23804237,
CG0400,Upper respiratory infections,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0520,Other perinatal conditions,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0570,Iron-deficiency anaemia,2000,Male,Age_all,[All],1.00000000,0.05546312,0.37024019,0.46257748,
CG0600,Malignant neoplasms,2000,Male,Age_all,[All],548.00000000,30.39378813,194.53080414,253.49245999,
CG0620,Oesophagus cancer,2000,Male,Age_all,[All],17.00000000,0.94287299,5.72953833,7.86381719,
CG0670,"Trachea, bronchus, lung cancers",2000,Male,Age_all,[All],157.00000000,8.70770937,54.81561628,72.62466463,
CG0682,b. Non-melanoma skin cancer,2000,Male,Age_all,[All],2.00000000,0.11092623,0.69820911,0.92515496,
CG0740,Bladder cancer,2000,Male,Age_all,[All],22.00000000,1.22018857,7.94050270,10.17670460,
CG0745,Mesothelioma,2000,Male,Age_all,[All],2.00000000,0.11092623,0.70054107,0.92515496,
CG0100,Diarrhoeal diseases,2000,Male,Age_all,[All],3.00000000,0.16638935,1.25103404,1.38773245,
CG0150,Measles,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0200,Malaria,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0230,Chagas disease,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0280,Leprosy,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0330,Ascariasis,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0360,Other intestinal infections,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0410,Otitis media,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0530,Nutritional deficiencies,2000,Male,Age_all,[All],3.00000000,0.16638935,1.12058739,1.38773245,
CG0560,Vitamin A deficiency,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0610,Mouth and oropharynx cancers,2000,Male,Age_all,[All],23.00000000,1.27565169,8.30040003,10.63928208,
CG0630,Stomach cancer,2000,Male,Age_all,[All],22.00000000,1.22018857,7.85679935,10.17670460,
CG0660,Pancreas cancer,2000,Male,Age_all,[All],29.00000000,1.60843039,10.13974615,13.41474697,
CG0690,Breast cancer,2000,Male,Age_all,[All],2.00000000,0.11092623,0.65208192,0.92515496,
CG0741,Brain and nervous system cancers,2000,Male,Age_all,[All],21.00000000,1.16472546,7.82711313,9.71412712,
CG0744,Thyroid cancer,2000,Male,Age_all,[All],4.00000000,0.22185247,1.46925373,1.85030993,
CG0753,c. Multiple myeloma,2000,Male,Age_all,[All],8.00000000,0.44370494,2.75983199,3.70061985,
CG0810,Neuropsychiatric conditions,2000,Male,Age_all,[All],95.00000000,5.26899612,37.62392894,43.94486076,
CG0840,Schizophrenia,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0890,Multiple sclerosis,2000,Male,Age_all,[All],1.00000000,0.05546312,0.36131599,0.46257748,
CG0940,Insomnia (primary),2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0970,Other neuropsychiatric disorders,2000,Male,Age_all,[All],11.00000000,0.61009429,4.28551754,5.08835230,
CG1020,"Hearing loss, adult onset ",2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0752,b. Non-Hodgkin lymphoma,2000,Male,Age_all,[All],9.00000000,0.49916805,3.17571002,4.16319734,
CG0800,Endocrine disorders,2000,Male,Age_all,[All],5.00000000,0.27731559,1.77075368,2.31288741,
CG0850,Epilepsy,2000,Male,Age_all,[All],5.00000000,0.27731559,1.94819590,2.31288741,
CG0880,Parkinson disease,2000,Male,Age_all,[All],14.00000000,0.77648364,5.14028369,6.47608474,
CG0930,Panic disorder,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0980,Sense organ diseases,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1010,"Vision disorders, age-related",2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1060,Hypertensive heart disease,2000,Male,Age_all,[All],24.00000000,1.33111481,9.18543361,11.10185956,
CG1120,Chronic obstructive pulmonary disease,2000,Male,Age_all,[All],82.00000000,4.54797560,28.72382461,37.93135350,
CG1150,Digestive diseases,2000,Male,Age_all,[All],95.00000000,5.26899612,34.46210440,43.94486076,
CG1182,Paralytic ileus and intestinal obstruction,2000,Male,Age_all,[All],4.00000000,0.22185247,1.42414604,1.85030993,
CG1200,Genitourinary diseases,2000,Male,Age_all,[All],15.00000000,0.83194676,5.63638224,6.93866223,
CG1230,Other genitourinary system diseases,2000,Male,Age_all,[All],2.00000000,0.11092623,0.75690806,0.92515496,
CG1280,Gout,2000,Male,Age_all,[All],1.00000000,0.05546312,0.38010702,0.46257748,
CG1330,Anencephaly,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1360,Cleft palate,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1410,Spina bifida,2000,Male,Age_all,[All],1.00000000,0.05546312,0.62676299,0.46257748,
CG1460,Edentulism,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1480,Injuries,2000,Male,Age_all,[All],155.00000000,8.59678314,64.81628547,71.69950967,
CG1530,Fires,2000,Male,Age_all,[All],2.00000000,0.11092623,0.74504806,0.92515496,
CG1560,Intentional injuries,2000,Male,Age_all,[All],50.00000000,2.77315585,20.18080293,23.12887409,
CG1590,War,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0789,Diabetes mellitus and endocrine disorders,2000,Male,Age_all,[All],21.00000000,1.16472546,7.43371159,9.71412712,
CG1070,Ischaemic heart disease,2000,Male,Age_all,[All],256.00000000,14.19855796,90.84875150,118.41983532,
CG1110,Respiratory diseases,2000,Male,Age_all,[All],118.00000000,6.54464781,41.67819500,54.58414284,
CG1160,Peptic ulcer disease,2000,Male,Age_all,[All],5.00000000,0.27731559,1.77821546,2.31288741,
CG1181,Gastritis and duodenitis,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1183,Inflammatory bowel disease,2000,Male,Age_all,[All],1.00000000,0.05546312,0.42230518,0.46257748,
CG1190,Other digestive diseases,2000,Male,Age_all,[All],25.00000000,1.38657793,9.11621060,11.56443704,
CG1240,Skin diseases,2000,Male,Age_all,[All],4.00000000,0.22185247,1.39818154,1.85030993,
CG1270,Osteoarthritis,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1290,Back pain,2000,Male,Age_all,[All],2.00000000,0.11092623,0.73388814,0.92515496,
CG1320,Abdominal wall defect,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1370,Oesophageal atresia,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1400,Congenital heart anomalies,2000,Male,Age_all,[All],1.00000000,0.05546312,0.62676299,0.46257748,
CG1420,Other Congenital anomalies,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1450,Periodontal disease,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1490,Unintentional injuries,2000,Male,Age_all,[All],103.00000000,5.71270105,43.85437157,47.64548062,
CG1520,Falls,2000,Male,Age_all,[All],20.00000000,1.10926234,7.76741729,9.25154963,
CG1540,Drownings,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1550,Other unintentional injuries,2000,Male,Age_all,[All],37.00000000,2.05213533,15.37543604,17.11536682,
CG1600,Other intentional injuries,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0769,Other malignant neoplasms,2000,Male,Age_all,[All],15.00000000,0.83194676,5.47049510,6.93866223,
CG1098,Ill-defined circulatory diseases,2000,Male,Age_all,[All],130.00000000,7.21020521,47.38634845,60.13507263,
CG0395,COVID-19,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0040,STDs excluding HIV,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0000,All Causes,2000,Female,Age_all,[All],1820.00000000,100.00000000,370.81475559,817.49988771,
CG0030,Tuberculosis,2000,Female,Age_all,[All],1.00000000,0.05494505,0.18968324,0.44917576,
CG0080,Other STDs,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0130,Poliomyelitis,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0160,Tetanus,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0210,Tropical-cluster diseases,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0260,lymphatic filariasis,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0290,Dengue,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0340,Trichuriasis,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0390,Lower respiratory infections,2000,Female,Age_all,[All],45.00000000,2.47252747,7.57938395,20.21290931,
CG0420,Maternal conditions,2000,Female,Age_all,[All],1.00000000,0.05494505,0.41900826,0.44917576,
CG0470,Abortion,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0520,Other perinatal conditions,2000,Female,Age_all,[All],1.00000000,0.05494505,0.66985294,0.44917576,
CG0550,Iodine deficiency,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0600,Malignant neoplasms,2000,Female,Age_all,[All],428.00000000,23.51648352,106.06353791,192.24722634,
CG0620,Oesophagus cancer,2000,Female,Age_all,[All],6.00000000,0.32967033,1.41913903,2.69505457,
CG0650,Liver cancer,2000,Female,Age_all,[All],9.00000000,0.49450549,2.37128099,4.04258186,
CG0682,b. Non-melanoma skin cancer,2000,Female,Age_all,[All],1.00000000,0.05494505,0.12179611,0.44917576,
CG0732,Kidney cancer,2000,Female,Age_all,[All],8.00000000,0.43956044,1.50713753,3.59340610,
CG0742,Gallbladder and biliary tract cancer,2000,Female,Age_all,[All],7.00000000,0.38461538,1.27143849,3.14423034,
CG0751,a. Hodgkin lymphoma,2000,Female,Age_all,[All],1.00000000,0.05494505,0.28614312,0.44917576,
CG0790,Diabetes mellitus,2000,Female,Age_all,[All],37.00000000,2.03296703,7.16916608,16.61950321,
CG0820,Unipolar depressive disorders,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0000,All Causes,2000,All,Age_all,[All],3623.00000000,100.00000000,489.07489009,825.64207744,
